,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
319,nguiu,,,,,,,,
320,strezhevoy,90.0,RU,2/15/2019,85.0,60.73,77.6,14.0,11.18
321,uitenhage,90.0,ZA,2/15/2019,94.0,-33.77,25.4,71.6,6.93
322,kaeo,0.0,NZ,2/15/2019,37.0,-35.1,173.78,80.42,15.5
323,lavrentiya,92.0,RU,2/15/2019,94.0,65.58,-170.99,18.05,41.79
324,havre-saint-pierre,75.0,CA,2/15/2019,92.0,50.23,-63.6,23.0,9.17
325,omboue,76.0,GA,2/15/2019,100.0,-1.57,9.26,77.36,4.43
326,katsuura,75.0,JP,2/15/2019,86.0,33.93,134.5,51.8,17.22
327,maniwaki,88.0,CA,2/15/2019,75.0,46.38,-75.98,26.15,9.24
328,codrington,75.0,AU,2/15/2019,69.0,-28.95,153.24,80.6,14.99
329,conceicao do araguaia,32.0,BR,2/15/2019,99.0,-8.26,-49.26,76.14,3.53
330,kharsia,92.0,IN,2/15/2019,99.0,21.99,83.11,63.95,4.43
331,paris,0.0,FR,2/15/2019,71.0,48.86,2.35,39.2,3.36
332,vagur,32.0,FO,2/15/2019,100.0,61.47,-6.81,44.24,6.33
333,gulshat,,,,,,,,
334,pangnirtung,36.0,CA,2/15/2019,91.0,66.15,-65.72,-20.97,4.54
335,doha,0.0,QA,2/15/2019,77.0,25.29,51.53,69.8,28.86
336,zaysan,20.0,KZ,2/15/2019,38.0,47.47,84.87,-5.45,2.19
337,karkaralinsk,,,,,,,,
338,los alamos,1.0,US,2/15/2019,62.0,35.88,-106.3,41.0,4.54
339,logan,90.0,US,2/15/2019,80.0,41.73,-111.83,35.6,3.36
340,balikpapan,20.0,ID,2/15/2019,66.0,-1.24,116.86,86.0,13.87
341,shingu,75.0,JP,2/15/2019,66.0,33.72,135.99,51.8,18.34
342,san rafael del sur,20.0,NI,2/15/2019,61.0,11.85,-86.44,82.4,9.17
343,pangkalanbuun,32.0,ID,2/15/2019,95.0,-2.68,111.62,83.43,4.21
344,chagda,,,,,,,,
345,cidreira,68.0,BR,2/15/2019,95.0,-30.17,-50.22,68.18,9.24
346,martapura,40.0,ID,2/15/2019,83.0,-3.41,114.85,82.4,6.93
347,fairbanks,1.0,US,2/15/2019,76.0,64.84,-147.72,-4.01,5.44
348,cooma,56.0,AU,2/15/2019,36.0,-36.24,149.13,77.0,8.05
349,tomatlan,0.0,MX,2/15/2019,85.0,19.93,-105.25,69.66,2.08
350,pucallpa,75.0,PE,2/15/2019,94.0,-8.38,-74.54,75.2,4.7
351,warrnambool,0.0,AU,2/15/2019,86.0,-38.38,142.48,68.36,7.23
352,pierre,90.0,US,2/15/2019,84.0,44.37,-100.35,6.8,13.87
353,puerto el triunfo,0.0,SV,2/15/2019,88.0,13.27,-88.55,77.0,3.36
354,abonnema,12.0,NG,2/15/2019,94.0,4.71,6.79,66.69,2.64
355,huaihua,92.0,CN,2/15/2019,100.0,27.56,109.96,36.23,6.22
356,nizhnevartovsk,90.0,RU,2/15/2019,85.0,60.93,76.58,14.0,11.18
357,touros,40.0,BR,2/15/2019,88.0,-5.2,-35.46,80.6,3.36
358,berea,90.0,US,2/15/2019,63.0,41.37,-81.85,28.4,18.34
359,avera,90.0,US,2/15/2019,100.0,33.19,-82.53,60.8,3.36
360,bojaya,,,,,,,,
361,lugovoy,0.0,RU,2/15/2019,81.0,59.72,65.88,5.94,2.75
362,te anau,0.0,NZ,2/15/2019,49.0,-45.41,167.72,58.23,3.53
363,talnakh,64.0,RU,2/15/2019,75.0,69.49,88.39,-7.34,5.99
364,kovdor,76.0,RU,2/15/2019,93.0,67.56,30.47,24.21,2.75
365,mandalgovi,0.0,MN,2/15/2019,48.0,45.76,106.27,6.48,7.11
366,san ramon de la nueva oran,0.0,AR,2/15/2019,85.0,-23.13,-64.33,69.44,1.97
367,praia da vitoria,40.0,PT,2/15/2019,93.0,38.73,-27.07,59.0,28.92
368,saint-raphael,36.0,HT,2/15/2019,92.0,19.43,-72.2,67.14,1.74
369,leningradskiy,12.0,RU,2/15/2019,77.0,69.38,178.42,-0.59,13.71
370,paamiut,0.0,GL,2/15/2019,100.0,61.99,-49.67,21.56,11.36
371,otradnoye,75.0,RU,2/15/2019,100.0,59.77,30.8,30.2,11.18
372,oksfjord,92.0,NO,2/15/2019,62.0,70.24,22.35,24.8,28.86
373,tabulbah,,,,,,,,
374,kigali,40.0,RW,2/15/2019,88.0,-1.95,30.06,62.6,2.24
375,kondinskoye,24.0,RU,2/15/2019,76.0,59.65,67.41,7.61,2.98
376,oranjemund,92.0,ZA,2/15/2019,94.0,-28.55,16.43,64.85,8.68
377,jardim,0.0,BR,2/15/2019,89.0,-21.48,-56.15,69.98,6.33
378,trindade,20.0,BR,2/15/2019,83.0,-16.66,-49.49,75.2,8.05
379,conde,92.0,BR,2/15/2019,91.0,-11.81,-37.61,80.24,10.02
380,bethel,90.0,US,2/15/2019,92.0,60.79,-161.76,30.2,10.29
381,vilyuysk,64.0,RU,2/15/2019,66.0,63.75,121.63,17.73,10.69
382,yatou,40.0,CM,2/15/2019,100.0,3.63,9.81,78.8,2.24
383,khandyga,12.0,RU,2/15/2019,43.0,62.65,135.58,-28.17,2.42
384,puerto del rosario,80.0,ES,2/15/2019,82.0,28.5,-13.86,57.2,5.82
385,hornepayne,68.0,CA,2/15/2019,68.0,49.22,-84.78,9.32,9.69
386,nizwa,0.0,OM,2/15/2019,77.0,22.93,57.53,46.67,2.75
387,talavera de la reina,12.0,ES,2/15/2019,75.0,39.96,-4.83,35.6,6.22
388,aflu,,,,,,,,
389,yerbogachen,80.0,RU,2/15/2019,70.0,61.28,108.01,17.73,10.25
390,yeppoon,40.0,AU,2/15/2019,45.0,-23.13,150.74,87.8,10.29
391,sabang,12.0,PH,2/15/2019,78.0,13.72,123.58,80.73,9.13
392,rio grande,88.0,BR,2/15/2019,98.0,-32.03,-52.1,72.14,16.84
393,tucurui,92.0,BR,2/15/2019,100.0,-3.77,-49.67,74.34,2.19
394,taoudenni,0.0,ML,2/15/2019,31.0,22.68,-3.98,58.41,10.8
395,inza,88.0,RU,2/15/2019,91.0,53.86,46.36,31.23,9.69
396,upata,0.0,VE,2/15/2019,71.0,8.02,-62.41,76.68,8.68
397,milkovo,90.0,BG,2/15/2019,69.0,41.53,24.68,41.0,4.7
398,oktyabrskoye,0.0,RU,2/15/2019,67.0,56.73,85.44,19.4,17.9
399,zyryanovsk,92.0,KZ,2/15/2019,59.0,49.74,84.27,3.83,2.19
400,kytlym,,,,,,,,
401,rolla,90.0,US,2/15/2019,85.0,37.95,-91.77,19.4,10.29
402,ancud,0.0,CL,2/15/2019,72.0,-41.87,-73.83,66.2,11.41
403,kostomuksha,32.0,RU,2/15/2019,84.0,64.59,30.6,21.69,3.98
404,honningsvag,56.0,NO,2/15/2019,100.0,70.98,25.97,24.8,12.71
405,kashi,,,,,,,,
406,talaya,0.0,RU,2/15/2019,67.0,55.79,84.89,19.4,17.9
407,kanniyakumari,0.0,IN,2/15/2019,100.0,8.08,77.57,81.14,11.03
408,dengzhou,92.0,CN,2/15/2019,76.0,32.69,112.08,34.61,11.36
409,teguldet,56.0,RU,2/15/2019,83.0,57.31,88.17,17.24,8.01
410,pusztafoldvar,0.0,HU,2/15/2019,100.0,46.53,20.8,28.4,2.24
411,deputatskiy,8.0,RU,2/15/2019,0.0,69.3,139.9,-42.21,3.09
412,osakarovka,80.0,KZ,2/15/2019,85.0,50.56,72.58,19.53,12.82
413,bambanglipuro,24.0,ID,2/15/2019,96.0,-7.95,110.28,81.63,4.32
414,cantavir,0.0,RS,2/15/2019,92.0,45.92,19.76,28.4,2.24
415,beringovskiy,88.0,RU,2/15/2019,97.0,63.05,179.32,31.82,25.01
416,ketchikan,75.0,US,2/15/2019,100.0,55.34,-131.65,35.6,6.93
417,karauzyak,,,,,,,,
418,lolua,,,,,,,,
419,rolim de moura,,,,,,,,
420,gazojak,20.0,TM,2/15/2019,78.0,41.19,61.4,22.64,3.53
421,solwezi,80.0,ZM,2/15/2019,96.0,-12.18,26.4,62.06,2.98
422,jogbani,100.0,NP,2/15/2019,99.0,26.4,87.26,60.84,3.53
423,solnechnyy,44.0,RU,2/15/2019,65.0,50.72,136.64,12.69,1.07
424,vaitupu,,,,,,,,
425,samusu,,,,,,,,
426,mrirt,,,,,,,,
427,maraba,0.0,BR,2/15/2019,100.0,-5.35,-49.1,77.0,4.7
428,garwolin,90.0,PL,2/15/2019,100.0,51.9,21.61,35.6,4.7
429,iquitos,75.0,PE,2/15/2019,88.0,-3.75,-73.25,77.0,8.05
430,jinji,100.0,CN,2/15/2019,97.0,22.16,112.49,71.15,3.87
431,galiwinku,,,,,,,,
432,spearfish,1.0,US,2/15/2019,84.0,44.49,-103.86,15.8,4.7
433,turukhansk,20.0,RU,2/15/2019,51.0,65.8,87.96,-9.68,5.66
434,rey bouba,0.0,CM,2/15/2019,60.0,8.67,14.18,55.67,3.2
435,glendive,90.0,US,2/15/2019,84.0,47.11,-104.71,10.4,26.4
436,ilhabela,100.0,BR,2/15/2019,100.0,-23.78,-45.36,73.31,20.31
437,fukue,75.0,JP,2/15/2019,61.0,35.03,136.69,48.2,8.05
438,medea,0.0,DZ,2/15/2019,100.0,36.27,2.77,39.2,3.36
439,palmer,1.0,US,2/15/2019,61.0,61.6,-149.11,17.6,2.3
440,shillong,75.0,IN,2/15/2019,83.0,25.58,91.88,69.8,3.36
441,henties bay,92.0,NA,2/15/2019,100.0,-22.12,14.28,61.34,3.87
442,kokopo,44.0,PG,2/15/2019,100.0,-4.34,152.27,81.54,12.03
443,cancun,20.0,MX,2/15/2019,83.0,21.17,-86.85,69.8,3.36
444,tanout,0.0,NE,2/15/2019,38.0,14.97,8.88,49.23,10.8
445,luganville,68.0,VU,2/15/2019,100.0,-15.51,167.18,80.24,24.79
446,aswan,0.0,EG,2/15/2019,100.0,24.09,32.9,39.56,4.21
447,peleduy,80.0,RU,2/15/2019,68.0,59.63,112.75,18.32,9.8
448,festus,90.0,US,2/15/2019,85.0,38.22,-90.4,23.0,8.05
449,ardesen,75.0,TR,2/15/2019,100.0,41.19,40.99,42.8,5.82
450,cruzeiro do sul,75.0,BR,2/15/2019,94.0,-7.63,-72.67,75.2,2.42
451,clyde river,90.0,CA,2/15/2019,83.0,70.47,-68.59,-11.21,10.29
452,bonfim,12.0,GY,2/15/2019,56.0,3.36,-59.84,83.3,14.5
453,sulangan,0.0,PH,2/15/2019,99.0,11.14,123.72,79.61,14.5
454,malwan,,,,,,,,
455,sur,0.0,OM,2/15/2019,100.0,22.57,59.53,68.27,6.44
456,kloulklubed,75.0,PW,2/15/2019,70.0,7.04,134.26,84.2,12.75
457,hirara,75.0,JP,2/15/2019,78.0,24.8,125.28,73.4,8.05
458,kudahuvadhoo,76.0,MV,2/15/2019,100.0,2.67,72.89,78.48,4.65
459,zamania,48.0,IN,2/15/2019,100.0,25.42,83.56,63.23,4.09
460,gimli,8.0,CA,2/15/2019,49.0,50.63,-96.99,-17.06,2.86
461,hervey bay,90.0,AU,2/15/2019,45.0,-25.3,152.85,84.2,17.22
462,verkhoyansk,0.0,RU,2/15/2019,77.0,67.55,133.39,-38.84,2.75
463,cheuskiny,,,,,,,,
464,wanxian,56.0,CN,2/15/2019,91.0,30.8,108.39,42.44,2.64
465,ariquemes,56.0,BR,2/15/2019,93.0,-9.91,-63.03,75.96,1.63
466,rongcheng,0.0,CN,2/15/2019,56.0,37.16,122.42,35.64,15.05
467,pangai,20.0,TO,2/15/2019,74.0,-19.8,-174.35,86.0,2.24
468,nouakchott,12.0,MR,2/15/2019,59.0,18.08,-15.98,66.2,14.99
469,camacha,20.0,PT,2/15/2019,76.0,33.08,-16.33,57.2,2.24
470,kimbe,80.0,PG,2/15/2019,100.0,-5.56,150.15,79.74,10.58
471,porto torres,0.0,IT,2/15/2019,100.0,40.84,8.4,41.0,3.36
472,amurzet,12.0,CN,2/15/2019,57.0,47.69,131.09,20.12,9.57
473,vestmannaeyjar,24.0,IS,2/15/2019,100.0,63.44,-20.27,28.53,4.99
474,mareeba,0.0,AU,2/15/2019,46.0,-16.99,145.42,91.4,10.29
475,yevsino,80.0,RU,2/15/2019,83.0,54.42,83.32,14.45,16.4
476,nouadhibou,0.0,MR,2/15/2019,88.0,20.93,-17.03,62.6,17.22
477,rio gallegos,0.0,AR,2/15/2019,40.0,-51.62,-69.22,69.8,19.46
478,mangai,68.0,CD,2/15/2019,93.0,-4.07,19.59,73.44,2.53
479,kondopoga,20.0,RU,2/15/2019,86.0,62.21,34.27,28.4,8.95
480,fontenay-le-comte,0.0,FR,2/15/2019,87.0,46.47,-0.81,42.8,6.93
481,asfi,,,,,,,,
482,magistralnyy,88.0,RU,2/15/2019,71.0,56.17,107.45,10.08,4.21
483,machiques,0.0,VE,2/15/2019,75.0,10.06,-72.55,69.8,6.11
484,san cristobal,40.0,EC,2/15/2019,87.0,-0.39,-78.55,59.0,3.36
485,guaruja,75.0,BR,2/15/2019,100.0,-23.99,-46.26,66.2,3.36
486,concarneau,90.0,FR,2/15/2019,100.0,47.88,-3.92,48.2,3.36
487,north myrtle beach,40.0,US,2/15/2019,59.0,33.83,-78.68,62.6,5.82
488,xining,44.0,CN,2/15/2019,60.0,36.62,101.77,18.95,3.09
489,yanam,40.0,IN,2/15/2019,78.0,16.73,82.22,73.4,6.93
490,manbij,0.0,SY,2/15/2019,87.0,36.53,37.96,32.0,2.24
491,paradwip,,,,,,,,
492,lewisville,1.0,US,2/15/2019,57.0,33.05,-96.99,50.0,11.41
493,tigil,56.0,RU,2/15/2019,83.0,57.8,158.67,6.93,4.43
494,farah,48.0,AF,2/15/2019,88.0,32.37,62.11,36.59,3.87
495,potsdam,0.0,DE,2/15/2019,74.0,52.4,13.06,37.4,2.24
496,duma,68.0,SY,2/15/2019,93.0,33.57,36.4,44.6,13.87
497,kirakira,88.0,SB,2/15/2019,97.0,-10.46,161.92,83.93,32.95
498,espanola,64.0,CA,2/15/2019,64.0,46.27,-81.77,19.98,9.01
499,kuche,,,,,,,,
500,kharp,32.0,RU,2/15/2019,60.0,66.82,65.8,-13.1,3.76
501,morro bay,90.0,US,2/15/2019,87.0,35.37,-120.85,51.8,12.75
502,tamiahua,0.0,MX,2/15/2019,94.0,21.28,-97.45,73.44,14.16
503,port lincoln,0.0,AU,2/15/2019,67.0,-34.72,135.86,78.71,0.96
504,khanpur,0.0,PK,2/15/2019,88.0,28.65,70.66,52.25,2.98
505,yumen,80.0,CN,2/15/2019,73.0,40.29,97.04,8.6,7.56
506,channapatna,0.0,IN,2/15/2019,83.0,12.65,77.22,71.6,4.7
507,imeni poliny osipenko,36.0,RU,2/15/2019,67.0,52.42,136.49,12.11,4.54
508,banda aceh,64.0,ID,2/15/2019,87.0,5.56,95.32,82.08,1.19
509,hambantota,40.0,LK,2/15/2019,100.0,6.12,81.12,77.0,2.24
510,easton,90.0,US,2/15/2019,81.0,42.02,-71.13,51.8,13.87
511,freeport,64.0,BS,2/15/2019,100.0,26.54,-78.7,72.86,4.65
512,tafresh,0.0,IR,2/15/2019,59.0,34.69,50.01,34.83,9.24
513,jumla,92.0,NP,2/15/2019,95.0,29.28,82.18,24.8,1.74
514,faanui,80.0,PF,2/15/2019,100.0,-16.48,-151.75,83.75,12.59
515,shagamu,20.0,NG,2/15/2019,94.0,6.84,3.65,78.8,2.24
516,berlevag,20.0,NO,2/15/2019,100.0,70.86,29.09,13.64,3.09
517,kargasok,80.0,RU,2/15/2019,75.0,59.06,80.87,16.88,7.45
518,xai-xai,92.0,MZ,2/15/2019,100.0,-25.04,33.64,73.85,11.59
519,kichera,56.0,RU,2/15/2019,80.0,55.93,110.1,-2.93,0.74
520,lephepe,,,,,,,,
521,aykhal,56.0,RU,2/15/2019,73.0,65.95,111.51,12.78,9.69
522,aksarka,32.0,RU,2/15/2019,62.0,66.56,67.8,-7.56,8.12
523,yen bai,80.0,VN,2/15/2019,99.0,21.7,104.87,70.25,2.75
524,tumannyy,,,,,,,,
525,kalemie,88.0,CD,2/15/2019,100.0,-5.95,29.2,73.44,7.23
526,sorvag,,,,,,,,
527,pleasanton,40.0,US,2/15/2019,87.0,37.66,-121.87,50.0,5.21
528,ouango,32.0,CD,2/15/2019,73.0,4.31,22.55,76.55,3.98
529,rocha,0.0,UY,2/15/2019,89.0,-34.48,-54.34,56.84,2.75
530,ciras,,,,,,,,
531,adre,0.0,TD,2/15/2019,31.0,13.47,22.2,61.88,14.72
532,nueve de julio,0.0,AR,2/15/2019,47.0,-31.67,-68.39,68.09,2.19
533,wewak,8.0,PG,2/15/2019,85.0,-3.55,143.63,83.3,4.99
534,srednekolymsk,76.0,RU,2/15/2019,61.0,67.46,153.71,-34.25,2.64
535,kavaratti,0.0,IN,2/15/2019,100.0,10.57,72.64,82.22,10.92
536,xingyi,32.0,CN,2/15/2019,41.0,24.19,102.82,66.33,7.23
537,zheleznogorsk,0.0,RU,2/15/2019,45.0,56.25,93.53,24.8,6.71
538,vorotynets,88.0,RU,2/15/2019,93.0,56.06,45.86,31.01,13.71
539,sambava,80.0,MG,2/15/2019,100.0,-14.27,50.17,79.34,2.86
540,chapleau,90.0,CA,2/15/2019,85.0,47.85,-83.4,10.4,8.05
541,chahuites,0.0,MX,2/15/2019,87.0,16.29,-94.19,72.86,3.53
542,ust-maya,68.0,RU,2/15/2019,65.0,60.42,134.54,-15.21,3.76
543,namatanai,88.0,PG,2/15/2019,100.0,-3.66,152.44,81.36,15.28
544,santiago del estero,0.0,AR,2/15/2019,71.0,-27.8,-64.26,71.64,7.67
545,karaton,75.0,ID,2/15/2019,78.0,-6.34,106.1,82.4,2.24
546,beboto,0.0,TD,2/15/2019,30.0,8.27,16.94,66.38,11.7
547,harper,1.0,US,2/15/2019,59.0,30.3,-99.24,71.6,3.36
548,tidore,,,,,,,,
549,mudyuga,,,,,,,,
550,joshimath,12.0,IN,2/15/2019,83.0,30.57,79.57,12.2,0.63
551,saleaula,,,,,,,,
552,mana,75.0,RS,2/15/2019,93.0,43.52,20.24,33.8,1.12
553,la ronge,90.0,CA,2/15/2019,76.0,55.1,-105.3,-5.81,2.24
554,disa,0.0,NG,2/15/2019,40.0,11.03,13.59,53.96,4.76
555,kortkeros,90.0,RU,2/15/2019,92.0,61.81,51.56,15.8,4.47
556,severo-kurilsk,48.0,RU,2/15/2019,100.0,50.68,156.12,20.75,13.27
557,eyl,92.0,SO,2/15/2019,100.0,7.98,49.82,74.39,11.81
558,boyuibe,36.0,BO,2/15/2019,67.0,-20.43,-63.28,70.74,8.23
559,lenoir city,90.0,US,2/15/2019,100.0,35.8,-84.26,50.0,5.77
560,burica,,,,,,,,
561,petropavlovsk-kamchatskiy,44.0,RU,2/15/2019,37.0,53.05,158.65,21.2,20.13
562,senador jose porfirio,76.0,BR,2/15/2019,100.0,-2.59,-51.95,75.92,4.76
563,kalmunai,92.0,LK,2/15/2019,98.0,7.42,81.82,77.9,3.76
564,bom jesus,44.0,BR,2/15/2019,95.0,-9.08,-44.36,76.01,4.76
565,karagay,76.0,RU,2/15/2019,86.0,58.27,54.93,17.46,6.44
566,jesup,90.0,US,2/15/2019,45.0,31.61,-81.89,64.4,4.7
567,salinopolis,88.0,BR,2/15/2019,96.0,-0.61,-47.36,81.18,13.04
568,trofors,92.0,NO,2/15/2019,87.0,65.54,13.39,44.6,36.91
569,kurilsk,64.0,RU,2/15/2019,98.0,45.23,147.88,26.64,14.5
570,wanning,0.0,AT,2/15/2019,100.0,48.64,13.53,26.6,3.36
571,caxito,64.0,BR,2/15/2019,96.0,-22.65,-42.51,71.24,10.8
572,moron,56.0,VE,2/15/2019,94.0,10.49,-68.2,69.66,2.64
573,peravurani,88.0,IN,2/15/2019,93.0,10.15,79.08,79.56,1.74
574,da nang,,,,,,,,
575,korla,,,,,,,,
576,neiba,64.0,DO,2/15/2019,91.0,18.49,-71.42,65.66,2.19
577,presidente epitacio,12.0,BR,2/15/2019,96.0,-21.76,-52.12,69.35,3.09
578,dawei,0.0,MM,2/15/2019,78.0,14.07,98.19,81.05,1.97
579,portland,90.0,US,2/15/2019,81.0,45.52,-122.67,44.6,17.22
580,kihei,75.0,US,2/15/2019,78.0,20.76,-156.45,73.4,18.34
581,songadh,0.0,IN,2/15/2019,66.0,21.71,71.89,62.87,5.44
582,plouzane,90.0,FR,2/15/2019,100.0,48.38,-4.62,48.2,8.05
583,kabelvag,92.0,NO,2/15/2019,95.0,68.21,14.48,40.23,36.08
584,itarema,80.0,BR,2/15/2019,97.0,-2.92,-39.92,77.04,3.98
585,kendari,68.0,ID,2/15/2019,89.0,-3.99,122.52,80.28,3.76
586,vizinga,88.0,RU,2/15/2019,91.0,61.08,50.08,20.66,3.87
587,nanton,92.0,CA,2/15/2019,75.0,50.35,-113.77,-0.36,3.53
588,bac can,,,,,,,,
589,ossora,76.0,RU,2/15/2019,91.0,59.24,163.07,10.22,18.86
590,iquique,90.0,CL,2/15/2019,68.0,-20.22,-70.14,69.8,3.36
591,swidnica,0.0,PL,2/15/2019,92.0,50.84,16.49,26.6,2.24
592,valley city,1.0,US,2/15/2019,83.0,46.92,-98.0,-13.01,5.82
593,grindavik,20.0,IS,2/15/2019,86.0,63.84,-22.43,28.4,2.24
594,sao miguel dos campos,75.0,BR,2/15/2019,83.0,-9.78,-36.09,78.8,4.7
595,maamba,68.0,ZM,2/15/2019,87.0,-17.36,27.22,66.33,4.99
596,biltine,0.0,TD,2/15/2019,34.0,14.53,20.93,58.68,8.23
597,port-gentil,88.0,GA,2/15/2019,100.0,-0.72,8.78,78.35,3.76
598,bonnyville,40.0,CA,2/15/2019,59.0,54.27,-110.74,1.4,8.05
599,baturaja,32.0,ID,2/15/2019,96.0,-4.12,104.17,82.22,4.99
600,virtsu,0.0,EE,2/15/2019,86.0,58.57,23.51,37.4,9.17
601,lac du bonnet,0.0,CA,2/15/2019,66.0,50.25,-96.06,-9.23,2.98
602,grand gaube,75.0,MU,2/15/2019,94.0,-20.01,57.66,75.2,5.82
603,fare,24.0,PF,2/15/2019,95.0,-16.7,-151.02,85.1,14.5
604,samalaeulu,,,,,,,,
605,teofilo otoni,92.0,BR,2/15/2019,92.0,-17.86,-41.51,72.05,6.78
606,trairi,92.0,BR,2/15/2019,100.0,-3.28,-39.27,80.42,3.65
607,belyy yar,24.0,RU,2/15/2019,83.0,53.6,91.39,-5.81,2.75
608,casablanca,75.0,MA,2/15/2019,100.0,33.6,-7.62,53.6,11.41
609,mvangue,88.0,CM,2/15/2019,97.0,2.97,11.5,70.79,2.64
610,lasa,90.0,CY,2/15/2019,93.0,34.92,32.53,51.8,9.17
611,vestmanna,36.0,FO,2/15/2019,86.0,62.16,-7.17,33.8,2.24
612,atambua,68.0,ID,2/15/2019,100.0,-9.11,124.89,81.68,4.43
613,kupang,40.0,ID,2/15/2019,66.0,-10.16,123.6,91.4,6.93
614,buin,0.0,CL,2/15/2019,72.0,-33.73,-70.74,64.4,10.29
615,taksimo,0.0,RU,2/15/2019,55.0,56.36,114.84,4.37,2.75
616,nola,32.0,CF,2/15/2019,62.0,3.52,16.05,67.14,2.98
617,seymchan,68.0,RU,2/15/2019,42.0,62.93,152.39,-28.13,1.63
618,katangli,56.0,RU,2/15/2019,100.0,51.71,143.23,12.96,15.84
619,alyangula,40.0,AU,2/15/2019,59.0,-13.85,136.42,91.4,5.82
620,twentynine palms,1.0,US,2/15/2019,57.0,34.14,-116.05,60.8,16.11
621,pundaguitan,68.0,PH,2/15/2019,100.0,6.37,126.17,78.08,9.13
622,monroe,1.0,US,2/15/2019,73.0,41.91,-83.4,24.8,10.29
623,omsukchan,64.0,RU,2/15/2019,67.0,62.53,155.8,-24.89,3.53
624,chernyshevskiy,68.0,RU,2/15/2019,67.0,63.01,112.47,17.28,11.81
625,bandarban,40.0,BD,2/15/2019,60.0,22.2,92.22,69.8,2.98
626,picos,64.0,BR,2/15/2019,98.0,-7.08,-41.47,70.97,1.74
627,sinazongwe,0.0,ZM,2/15/2019,87.0,-17.26,27.46,74.16,4.99
628,do rud,,,,,,,,
629,dumas,0.0,IN,2/15/2019,87.0,21.09,72.71,59.0,2.24
630,namibe,8.0,AO,2/15/2019,100.0,-15.19,12.15,72.86,10.25
631,bolungarvik,,,,,,,,
632,kenitra,40.0,MA,2/15/2019,93.0,34.26,-6.57,51.8,2.24
633,mineral wells,1.0,US,2/15/2019,80.0,32.81,-98.11,48.2,14.83
634,slave lake,90.0,CA,2/15/2019,71.0,55.28,-114.77,6.8,3.36
635,duku,0.0,NG,2/15/2019,31.0,11.24,4.91,65.43,11.03
636,oyama,75.0,JP,2/15/2019,43.0,36.31,139.8,50.0,2.24
637,taltal,0.0,CL,2/15/2019,100.0,-25.41,-70.49,58.19,1.3
638,sechura,76.0,PE,2/15/2019,87.0,-5.56,-80.82,75.74,3.87
639,faya,0.0,SA,2/15/2019,71.0,18.39,42.45,59.0,11.41
